,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1603851,1353689,SB0217,SB0217,State Retirement Amendments,State Retirement Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0217.json,4,2020-04-01,http://le.utah.gov/~2020/bills/sbillenr/SB0217.pdf
1603852,1353720,SB0218,SB0218,Facial Recognition Provisions,Facial Recognition Provisions,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0218.json,1,2020-03-02,http://le.utah.gov/~2020/bills/sbillint/SB0218.pdf
1603853,1354065,SB0219,SB0219,Anti-boycott Israel Amendments,Anti-boycott Israel Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0219.json,1,2020-03-02,http://le.utah.gov/~2020/bills/sbillamd/SB0219.pdf
1603854,1353996,SB0220,SB0220,Confession of Judgment Amendments,Confession of Judgment Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0220.json,4,2020-03-31,http://le.utah.gov/~2020/bills/sbillenr/SB0220.pdf
1603855,1354162,SB0221,SB0221,Administrative Rulemaking Authority Amendments,Administrative Rulemaking Authority Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0221.json,1,2020-03-02,http://le.utah.gov/~2020/bills/sbillint/SB0221.pdf
1603856,1354133,SB0222,SB0222,Business Input Sales Tax Amendments,Business Input Sales Tax Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0222.json,1,2020-03-02,http://le.utah.gov/~2020/bills/sbillint/SB0222.pdf
1603857,1353963,SB0223,SB0223,Insurance Renewal Amendments,Insurance Renewal Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0223.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SB0223.pdf
1603858,1354228,SB0224,SB0224,Dedication of Public Highways,Dedication of Public Highways,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0224.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SB0224.pdf
1603859,1354292,SB0225,SB0225,Prepaid Wireless Telecommunications Service Amendments,Prepaid Wireless Telecommunications Service Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0225.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SB0225.pdf
1603860,1354240,SB0226,SB0226,Tax Credit for Telecommuting,Tax Credit for Telecommuting,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0226.json,1,2020-03-03,http://le.utah.gov/~2020/bills/sbillint/SB0226.pdf
1603861,1354177,SB0227,SB0227,Veterans License Plates Amendments,Veterans License Plates Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0227.json,2,2020-03-09,http://le.utah.gov/~2020/bills/sbillamd/SB0227.pdf
1603862,1354720,SB0228,SB0228,Inherent Risks of Skiing Amendments,Inherent Risks of Skiing Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0228.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SB0228.pdf
1603863,1355086,SB0229,SB0229,Administrative Rules Amendments,Administrative Rules Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0229.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SB0229.pdf
1603864,1354958,SB0230,SB0230,Pharmaceutical Supply Chain,Pharmaceutical Supply Chain,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0230.json,1,2020-03-03,http://le.utah.gov/~2020/bills/sbillint/SB0230.pdf
1603865,1354868,SB0231,SB0231,Veterans and Military Affairs Grant Authority,Veterans and Military Affairs Grant Authority,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0231.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SB0231.pdf
1603866,1355008,SB0232,SB0232,Exploitation of a Minor Amendments,Exploitation of a Minor Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0232.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SB0232.pdf
1603867,1355057,SB0233,SB0233,Post-employment Restrictions Amendments,Post-employment Restrictions Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0233.json,1,2020-03-03,http://le.utah.gov/~2020/bills/sbillint/SB0233.pdf
1603868,1354931,SB0234,SB0234,Government Debt Collection Amendments,Government Debt Collection Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0234.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SB0234.pdf
1603869,1355031,SB0235,SB0235,Distribution of Prescription Drug Rebates,Distribution of Prescription Drug Rebates,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0235.json,1,2020-03-04,http://le.utah.gov/~2020/bills/sbillint/SB0235.pdf
1603870,1355406,SB0236,SB0236,Jail Contracting and Reimbursement Amendments,Jail Contracting and Reimbursement Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0236.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SB0236.pdf
1603871,1355495,SB0237,SB0237,Aggravated Kidnapping Amendments,Aggravated Kidnapping Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0237.json,4,2020-03-28,http://le.utah.gov/~2020/bills/sbillenr/SB0237.pdf
1603872,1355615,SB0238,SB0238,Battered Person Mitigation Amendments,Battered Person Mitigation Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0238.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SB0238.pdf
1603873,1355659,SB0239,SB0239,Refinery Sales Tax Exemption,Refinery Sales Tax Exemption,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0239.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SB0239.pdf
1603874,1355566,SB0240,SB0240,Reporting Requirements for County Jails,Reporting Requirements for County Jails,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0240.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SB0240.pdf
1603875,1355845,SB0241,SB0241,Rural Economic Development Amendments,Rural Economic Development Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0241.json,1,2020-03-04,http://le.utah.gov/~2020/bills/sbillint/SB0241.pdf
1603876,1355804,SB0242,SB0242,Charitable Drawing Amendments,Charitable Drawing Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0242.json,2,2020-03-10,http://le.utah.gov/~2020/bills/sbillamd/SB0242.pdf
1603877,1356250,SB0243,SB0243,Modern Communications Decency Act,Modern Communications Decency Act,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0243.json,1,2020-03-05,http://le.utah.gov/~2020/bills/sbillint/SB0243.pdf
1603878,1356380,SB0244,SB0244,Homeless Shelter and Services Sharing Amendments,Homeless Shelter and Services Sharing Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0244.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SB0244.pdf
1603879,1356429,SB0245,SB0245,Small Business Technology State Match Amendments,Small Business Technology State Match Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0245.json,1,2020-03-05,http://le.utah.gov/~2020/bills/sbillint/SB0245.pdf
1603880,1356355,SB0246,SB0246,Extreme Risk Protection Order Requirements,Extreme Risk Protection Order Requirements,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0246.json,1,2020-03-05,http://le.utah.gov/~2020/bills/sbillint/SB0246.pdf
1603881,1356476,SB0247,SB0247,DNA Processing Amendments,DNA Processing Amendments,UT,2020 General Session,bill_data\UT\2020-2020_General_Session\bill\SB0247.json,4,2020-03-30,http://le.utah.gov/~2020/bills/sbillenr/SB0247.pdf
