Unnamed: 0,bill_id,code,bill_number,title,description,state,session,filename,status,status_date,url
1589518,1656185,HJR16,HJR16,Proposing an amendment to the Constitution of the United States extending the right to vote to citizens sixteen years of age or older.,Proposing an amendment to the Constitution of the United States extending the right to vote to citizens sixteen years of age or older.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR16.json,1,2023-01-11,https://www.congress.gov/118/bills/hjres16/BILLS-118hjres16ih.pdf
1589519,1657910,HJR17,HJR17,Disapproving the action of the District of Columbia Council in approving the Local Resident Voting Rights Amendment Act of 2022.,Disapproving the action of the District of Columbia Council in approving the Local Resident Voting Rights Amendment Act of 2022.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR17.json,1,2023-01-12,https://www.congress.gov/118/bills/hjres17/BILLS-118hjres17ih.pdf
1589520,1657903,HJR18,HJR18,"AUMF CARTEL Influence Resolution Authorization for the Use of Military Force to Combat, Attack, Resist, Target, Eliminate, and Limit Influence Resolution",To authorize the use of United States Armed Forces against those responsible for trafficking fentanyl or a fentanyl-related substance into the United States or carrying out other related activities that cause regional destabilization in the Western Hemisphere.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR18.json,1,2023-01-12,https://www.congress.gov/118/bills/hjres18/BILLS-118hjres18ih.pdf
1589521,1657931,HJR19,HJR19,Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.,Proposing a balanced budget amendment to the Constitution requiring that each agency and department's funding is justified.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR19.json,1,2023-01-12,https://www.congress.gov/118/bills/hjres19/BILLS-118hjres19ih.pdf
1589522,1650876,HJR2,HJR2,Proposing an amendment to the Constitution of the United States relative to balancing the budget.,Proposing an amendment to the Constitution of the United States relative to balancing the budget.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR2.json,1,2023-01-09,https://www.congress.gov/118/bills/hjres2/BILLS-118hjres2ih.pdf
1589523,1657883,HJR20,HJR20,Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,Proposing an amendment to the Constitution of the United States to limit the number of consecutive terms that a Member of Congress may serve.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR20.json,1,2023-01-12,https://www.congress.gov/118/bills/hjres20/BILLS-118hjres20ih.pdf
1589524,1657929,HJR21,HJR21,Proposing a balanced budget amendment to the Constitution of the United States.,Proposing a balanced budget amendment to the Constitution of the United States.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR21.json,1,2023-01-12,https://www.congress.gov/118/bills/hjres21/BILLS-118hjres21ih.pdf
1589525,1683956,HJR22,HJR22,"Disapproving the rule submitted by the Department of Commerce relating to ""Procedures Covering Suspension of Liquidation, Duties and Estimated Duties in Accord With Presidential Proclamation 10414"".","Disapproving the rule submitted by the Department of Commerce relating to ""Procedures Covering Suspension of Liquidation, Duties and Estimated Duties in Accord With Presidential Proclamation 10414"".",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR22.json,1,2023-01-26,https://www.congress.gov/118/bills/hjres22/BILLS-118hjres22ih.pdf
1589526,1689582,HJR23,HJR23,"Proposing an amendment to the Constitution of the United States providing that the Senate is made more representative by adding twelve Senators to be elected nationwide through ranked choice voting, and providing for twelve Electors at-large for President and Vice President, who shall cast their ballots for the respective winners of the national popular vote.","Proposing an amendment to the Constitution of the United States providing that the Senate is made more representative by adding twelve Senators to be elected nationwide through ranked choice voting, and providing for twelve Electors at-large for President and Vice President, who shall cast their ballots for the respective winners of the national popular vote.",US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR23.json,1,2023-01-31,https://www.congress.gov/118/bills/hjres23/BILLS-118hjres23ih.pdf
1589527,1689573,HJR24,HJR24,Disapproving the action of the District of Columbia Council in approving the Local Resident Voting Rights Amendment Act of 2022.,Disapproving the action of the District of Columbia Council in approving the Local Resident Voting Rights Amendment Act of 2022.,US,118th Congress,bill_data\US\2023-2024_118th_Congress\bill\HJR24.json,2,2023-02-13,https://www.congress.gov/118/bills/hjres24/BILLS-118hjres24eh.pdf
